name,move_sec,length,speed_kmh,move_to_ts_name,self_ts_name,self_busy_sec
4СП(4+),34,332.0,35.1529,6-14СП(к),4СП(к),1600334767
НАП,86,376.0,15.7395,1-9СП(к),НАП(к),1600335265
4СП(4+),22,332.0,54.3273,6-14СП(к),4СП(к),1600335883
1-9СП(1+;3+;9+),10,146.0,52.56,НАП(к),1-9СП(к),1600335987
НАП,28,376.0,48.3429,Н1ИП,НАП(к),1600335997
НАП,23,376.0,58.8522,1-9СП(к),НАП(к),1600338203
1-9СП(1+;3+;9+),12,146.0,43.8,2АП(к),1-9СП(к),1600338226
4СП(4+),22,332.0,54.3273,Ч1УП,4СП(к),1600338317
НАП,26,376.0,52.0615,1-9СП(к),НАП(к),1600339970
1-9СП(1+;3+;9+),10,146.0,52.56,2АП(к),1-9СП(к),1600339996
4СП(4+),24,332.0,49.8,Ч1УП,4СП(к),1600340087
1-9СП(1-),7,39.0,20.0571,НАП(к),1-9СП(к),1600340917
НАП,62,376.0,21.8323,Н1ИП,НАП(к),1600340924
4СП(4+),20,332.0,59.76,6-14СП(к),4СП(к),1600342940
1-9СП(1+;3+;9+),10,146.0,52.56,НАП(к),1-9СП(к),1600343039
НАП,28,376.0,48.3429,Н1ИП,НАП(к),1600343049
4СП(4+),13,332.0,91.9385,6-14СП(к),4СП(к),1600343482
1-9СП(1+;3+;9+),9,146.0,58.4,НАП(к),1-9СП(к),1600343566
4СП(4+),20,332.0,59.76,6-14СП(к),4СП(к),1600344981
1-9СП(1+;3+;9+),10,146.0,52.56,НАП(к),1-9СП(к),1600345082
НАП,27,376.0,50.1333,Н1ИП,НАП(к),1600345092
НАП,37,376.0,36.5838,1-9СП(к),НАП(к),1600346850
1-9СП(1+;3+;9-),15,146.0,35.04,3АП(к),1-9СП(к),1600346887
ЧДП,24,223.0,33.45,ЧД1УП,ЧДП(к),1600347034
4СП(4+),37,332.0,32.3027,6-14СП(к),4СП(к),1600347871
НАП,28,376.0,48.3429,1-9СП(к),НАП(к),1600348495
1-9СП(1+;3+;9-),12,146.0,43.8,3АП(к),1-9СП(к),1600348523
ЧДП,20,223.0,40.14,ЧД1УП,ЧДП(к),1600348649
НАП,38,376.0,35.6211,1-9СП(к),НАП(к),1600348900
НАП,27,376.0,50.1333,1-9СП(к),НАП(к),1600349291
1-9СП(1+;3+;9+),12,146.0,43.8,2АП(к),1-9СП(к),1600349318
4СП(4+),23,332.0,51.9652,Ч1УП,4СП(к),1600349426
НАП,39,376.0,34.7077,1-9СП(к),НАП(к),1600349653
1-9СП(1+;3+;9-),22,146.0,23.8909,3АП(к),1-9СП(к),1600349692
ЧДП,23,223.0,34.9043,ЧД1УП,ЧДП(к),1600349911
1-9СП(1+;3-),22,108.0,17.6727,НАП(к),1-9СП(к),1600350068
НАП,68,376.0,19.9059,Н1ИП,НАП(к),1600350090
4СП(4+),21,332.0,56.9143,6-14СП(к),4СП(к),1600351956
